solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-1.7B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-4B-Base,-0.013320,0.054540,0.093004,0.156608,0.099620,0.043305,0.150521,0.184410,0.403969,0.508951,0.341653,0.052394,0.008643,-0.057426,0.012413,0.060654,0.189508,0.086297,-0.013392,0.048132,0.025586,0.043040,0.127056,0.253738,0.098975,-0.092553,-0.092553,-0.092553,-0.092553,-0.009018,-0.008596,0.044936,0.116152,0.032315,0.091704,0.340195,0.250925
Qwen3-8B-Base,-0.071982,0.008929,0.029576,0.081572,0.102065,0.086905,0.641384,0.700716,0.695374,0.700251,0.659558,0.005894,-0.271659,0.002278,0.064043,0.131532,0.186596,0.196886,-0.017144,0.005737,0.016442,0.345362,0.142705,0.193253,0.203183,-0.271659,-0.271659,-0.271659,-0.271659,-0.051993,-0.013623,0.415886,0.160365,0.023566,0.284736,0.612062,0.662407
Qwen3-14B-Base,0.015689,0.004428,0.084407,0.140073,0.102933,0.105075,0.712203,0.717188,0.705640,0.705793,0.669098,0.020936,-0.255144,0.062313,0.029316,0.134147,0.178824,0.106594,-0.014620,-0.002256,0.018878,0.244856,0.134562,0.165726,0.182856,-0.255144,-0.255144,-0.255144,-0.255144,-0.048041,-0.041365,0.403672,0.148074,0.033150,0.354612,0.660856,0.671779
Qwen3-0.6B,-0.062470,0.014394,0.406924,0.030121,0.025107,0.015752,0.002115,0.013097,0.008863,0.015647,0.016274,0.034687,-0.227979,0.038323,-0.002028,0.016878,0.014305,0.019121,0.012797,-0.002776,0.045771,-0.010267,0.017035,0.016919,0.016414,-0.227979,-0.227979,-0.227979,-0.227979,-0.006562,-0.004383,0.025899,0.016797,0.009185,0.012264,0.021279,0.037196
Qwen3-1.7B,0.006270,0.006270,-0.013271,0.000662,0.000000,0.000160,0.002383,-0.000053,-0.000053,-0.000020,-0.000046,-0.002376,-0.000541,-0.004888,-0.001075,-0.002478,-0.000007,-0.000007,0.006270,-0.000047,0.001565,-0.000806,0.000000,-0.000007,0.000000,-0.993730,-0.993730,-0.993730,-0.993730,0.000156,-0.003640,-0.001488,-0.000196,0.003097,0.000683,-0.000245,-0.000141
Qwen3-4B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,0.003043,0.003043,0.003043,0.003043,-0.000003,0.000652,-0.000252,-0.000025,0.000868,0.000998,-0.000012,-0.000817,-0.000276,0.003043,0.001559,0.000616,-0.000009,-0.000025,0.003043,-0.000012,-0.001262,-0.000276,0.000000,-0.000003,0.000000,-0.996957,-0.996957,-0.996957,-0.996957,-0.000680,-0.002646,0.000319,-0.000057,-0.001061,-0.000166,-0.000156,-0.000159
Qwen3-14B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-32B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-7B-Base,0.029667,0.205126,0.068874,0.184254,0.274321,0.192804,0.829064,0.846740,0.838806,0.793769,0.780293,0.017304,-0.137000,-0.137000,-0.012279,0.278576,0.487398,0.236141,-0.000663,0.084441,0.020218,-0.053667,0.210059,0.218224,0.449538,-0.137000,-0.137000,-0.137000,-0.137000,-0.137000,-0.010300,0.046168,0.179384,0.125153,0.696867,0.826636,0.838610
Qwen2.5-14B-Base,-0.020709,0.018703,0.183539,0.287040,0.274589,0.163720,0.658237,0.667287,0.675527,0.670940,0.640989,0.008808,0.110322,0.003991,0.099065,0.278601,0.277685,0.287174,-0.007481,0.004067,0.016744,0.261476,0.319719,0.362278,0.397132,-0.264840,-0.264840,-0.264840,-0.264840,-0.005083,0.035872,0.363702,0.318448,0.187732,0.540529,0.652636,0.676623
Qwen2.5-32B-Base,-0.136143,0.118807,0.156998,0.223391,0.271873,0.090778,0.641576,0.639282,0.655064,0.632936,0.608009,-0.046631,-0.050226,0.027192,0.159678,0.085843,0.236775,0.344022,0.010930,0.039965,-0.007621,-0.067520,0.249672,0.257464,0.310213,-0.321757,-0.321757,-0.321757,-0.321757,-0.038939,0.038647,0.235237,0.227999,0.222155,0.435754,0.610061,0.600067
Qwen2.5-72B-Base,-0.030748,0.007390,0.033030,0.046659,0.053462,0.047185,0.773140,0.842982,0.850709,0.835179,0.803502,0.004222,-0.124498,-0.003020,0.008808,0.048689,0.076625,0.041719,0.017340,-0.003831,-0.000294,0.019832,0.046000,0.104003,0.073615,-0.124498,-0.124498,-0.124498,-0.124498,0.018940,-0.013466,-0.048308,0.049955,0.022353,0.160570,0.706271,0.618923
Qwen2.5-0.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
