solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-1.7B-Base,0.011173,0.053333,0.068182,0.250000,0.089552,0.021127,0.057143,0.091324,0.357143,0.384615,0.063492,0.000000,0.008130,0.000000,0.016913,0.000000,0.122449,0.024180,0.000000,0.025974,0.039139,0.040733,0.041841,0.243902,0.064103,0.000000,0.000000,0.000000,0.000000,0.026738,0.047619,0.051282,0.047198,0.029703,0.061538,0.273973,0.104712
Qwen3-4B-Base,0.128571,0.896396,0.888078,0.879288,0.877527,0.853129,0.911765,0.921182,0.933833,0.932836,0.952986,0.723022,0.000000,0.391753,0.536752,0.608229,0.781208,0.856079,0.171296,0.867150,0.883212,0.899394,0.896305,0.898204,0.903614,0.000000,0.000000,0.000000,0.000000,0.663951,0.669697,0.842818,0.918519,0.878238,0.911980,0.907117,0.909091
Qwen3-8B-Base,0.064516,0.089385,0.019950,0.038462,0.015326,0.481013,0.208754,0.215613,0.090909,0.123457,0.076336,0.268817,0.118812,0.094937,0.025357,0.034816,0.021201,0.026490,0.046512,0.073864,0.417132,0.067989,0.076372,0.060302,0.046512,0.000000,0.000000,0.000000,0.000000,0.337500,0.252319,0.072115,0.051282,0.503341,0.307692,0.106122,0.171875
Qwen3-14B-Base,0.095640,0.739030,0.810774,0.812151,0.695122,0.803822,0.809855,0.833647,0.829482,0.827629,0.841240,0.617284,0.000000,0.536765,0.510753,0.551304,0.800250,0.782609,0.006270,0.643768,0.806412,0.811240,0.812462,0.812462,0.816452,0.000000,0.000000,0.000000,0.000000,0.614770,0.656274,0.802107,0.817958,0.806009,0.814586,0.819470,0.822800
Qwen3-0.6B,0.000000,0.000000,0.000000,0.012422,0.012678,0.009732,0.010309,0.012598,0.010050,0.009357,0.015936,0.004878,0.000000,0.008658,0.013129,0.003150,0.009217,0.008989,0.000000,0.009174,0.008230,0.009249,0.008909,0.008820,0.009434,0.000000,0.000000,0.000000,0.000000,0.006211,0.007212,0.008511,0.008989,0.017978,0.008658,0.010309,0.009501
Qwen3-1.7B,0.393574,0.167364,0.017094,0.416856,0.511664,0.507680,0.477146,0.504065,0.504348,0.505495,0.522423,0.409396,0.605263,0.389351,0.435567,0.497925,0.506079,0.504958,0.036923,0.498096,0.498361,0.506464,0.504151,0.502269,0.508009,0.000000,0.000000,0.000000,0.000000,0.526678,0.477492,0.477509,0.505695,0.509554,0.507534,0.502276,0.504164
Qwen3-4B,0.640884,0.247987,0.019646,0.854839,0.961945,0.956822,0.791045,0.945279,0.953830,0.954283,0.964156,0.790875,0.950820,0.715924,0.653873,0.813707,0.962382,0.962924,0.374677,0.956287,0.920152,0.962617,0.963193,0.963193,0.963193,0.000000,0.000000,0.000000,0.000000,0.829670,0.939168,0.850356,0.962117,0.885470,0.954426,0.961578,0.963193
Qwen3-8B,0.638182,0.268908,0.000000,0.619658,0.763750,0.767488,0.631692,0.737796,0.648606,0.766093,0.767714,0.637838,0.700000,0.430233,0.537428,0.718254,0.768278,0.767614,0.189723,0.756483,0.738110,0.766954,0.768473,0.768473,0.767714,0.000000,0.000000,0.000000,0.000000,0.774400,0.748705,0.715659,0.767714,0.714989,0.755192,0.768473,0.768473
Qwen3-14B,0.730273,0.226833,0.018059,0.569536,0.956385,0.982143,0.837310,0.958267,0.949314,0.970512,0.989367,0.791993,0.916667,0.724428,0.590711,0.795483,0.988295,0.984208,0.441143,0.986695,0.948203,0.987342,0.988366,0.988366,0.988354,0.000000,0.000000,0.000000,0.000000,0.857461,0.964230,0.856124,0.987842,0.890264,0.972165,0.987854,0.988366
Qwen3-32B,0.612878,0.369064,0.024427,0.857550,0.975258,0.986286,0.871111,0.970390,0.966269,0.981595,0.994458,0.728335,0.925000,0.764434,0.702170,0.750000,0.992901,0.992397,0.651685,0.991313,0.933761,0.990399,0.993457,0.993457,0.991935,0.000000,0.000000,0.000000,0.000000,0.882934,0.972779,0.904843,0.992944,0.923919,0.982152,0.992443,0.993457
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B-Base,0.000000,0.007220,0.019310,0.018843,0.024450,0.021239,0.025501,0.031390,0.032941,0.031461,0.038997,0.013029,0.000000,0.038217,0.012232,0.017192,0.022951,0.021314,0.010152,0.027523,0.019580,0.018742,0.017220,0.017348,0.023932,0.000000,0.000000,0.000000,0.000000,0.016064,0.020833,0.013115,0.019608,0.025225,0.023850,0.025090,0.025878
Qwen2.5-7B-Base,0.000000,0.041667,0.110092,0.037267,0.026596,0.500000,0.615385,0.666667,0.666667,0.695652,0.640000,0.014787,0.000000,0.000000,0.000000,0.008850,0.113475,0.045016,0.000000,0.047872,0.236842,0.235294,0.250000,0.340426,0.516129,0.000000,0.000000,0.000000,0.000000,0.046512,0.110429,0.214286,0.378378,0.500000,0.606061,0.592593,0.714286
Qwen2.5-14B-Base,0.186788,0.312500,0.663934,0.610169,0.659729,0.768617,0.886842,0.913218,0.908609,0.895833,0.928475,0.499459,0.250000,0.192308,0.218487,0.485459,0.574627,0.649950,0.428850,0.582524,0.679875,0.698554,0.697062,0.680514,0.679842,0.000000,0.000000,0.000000,0.000000,0.450746,0.712753,0.723077,0.813239,0.814184,0.891275,0.868687,0.868687
Qwen2.5-32B-Base,0.115254,0.461538,0.693467,0.691924,0.487021,0.765657,0.885344,0.900596,0.895522,0.895257,0.911290,0.604540,0.357724,0.244898,0.318634,0.478613,0.652668,0.634783,0.198261,0.595369,0.702659,0.709904,0.700855,0.679699,0.763912,0.000000,0.000000,0.000000,0.000000,0.520280,0.640359,0.707514,0.799642,0.842993,0.877331,0.895257,0.906533
Qwen2.5-72B-Base,0.127193,0.916667,0.907645,0.908475,0.733703,0.873273,0.941176,0.958668,0.964679,0.956522,0.970964,0.673285,0.000000,0.259162,0.207821,0.719503,0.856803,0.769627,0.152955,0.901828,0.899145,0.912877,0.915663,0.912664,0.927263,0.000000,0.000000,0.000000,0.000000,0.664840,0.737694,0.820660,0.937535,0.908343,0.947489,0.941972,0.947846
