solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-1.7B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-4B-Base,0.074627,0.262712,0.316206,0.333333,0.316498,0.232082,0.379747,0.426230,0.639344,0.727273,0.590406,0.188889,0.084848,0.044776,0.165138,0.260870,0.387597,0.296496,0.171429,0.210084,0.250980,0.198142,0.369048,0.473684,0.312896,0.000000,0.000000,0.000000,0.000000,0.121864,0.130790,0.203390,0.327456,0.160377,0.259386,0.573643,0.498423
Qwen3-8B-Base,0.047619,0.454545,0.413669,0.503906,0.507826,0.489655,0.910569,0.961749,0.959128,0.953168,0.941176,0.351648,0.000000,0.294118,0.398034,0.408669,0.565489,0.492147,0.385185,0.395960,0.380074,0.250000,0.548446,0.603416,0.600398,0.000000,0.000000,0.000000,0.000000,0.259366,0.303167,0.346320,0.554264,0.253521,0.520231,0.851541,0.926431
Qwen3-14B-Base,0.087838,0.477876,0.506631,0.536752,0.520879,0.493639,0.961460,0.982036,0.974155,0.976190,0.953125,0.425287,0.000000,0.295455,0.410080,0.413519,0.548435,0.434188,0.453826,0.402041,0.421541,0.248485,0.535354,0.588092,0.585561,0.000000,0.000000,0.000000,0.000000,0.233410,0.238267,0.140221,0.545216,0.265306,0.551876,0.919679,0.948819
Qwen3-0.6B,0.153846,0.210526,0.053333,0.379421,0.401869,0.376963,0.318182,0.388889,0.376744,0.390023,0.389908,0.400000,0.000000,0.288288,0.324528,0.323651,0.380247,0.387255,0.304348,0.365688,0.389439,0.328691,0.391800,0.389791,0.391800,0.000000,0.000000,0.000000,0.000000,0.356589,0.308244,0.355872,0.387707,0.360856,0.377834,0.395294,0.413965
Qwen3-1.7B,0.377823,0.408946,0.100116,0.942260,0.996822,0.919269,0.784500,0.992553,0.992624,0.995276,0.993161,0.837782,0.958333,0.615202,0.722875,0.830530,0.996325,0.996267,0.706868,0.993037,0.798992,0.936076,0.996855,0.996329,0.996855,0.000000,0.000000,0.000000,0.000000,0.867710,0.686357,0.697642,0.981373,0.883365,0.964208,0.977540,0.985692
Qwen3-4B,0.421449,0.444444,0.297240,0.985075,0.998994,0.942761,0.787917,0.996466,0.982875,0.997986,0.996976,0.866008,0.965517,0.396313,0.806369,0.792332,0.997476,0.995935,0.600221,0.998483,0.809809,0.957569,1.000000,0.999497,1.000000,0.000000,0.000000,0.000000,0.000000,0.812865,0.716261,0.765743,0.993933,0.814394,0.960293,0.983657,0.965159
Qwen3-8B,0.203315,0.405594,0.155963,0.926084,0.997959,0.917285,0.760956,0.994356,0.964554,0.995411,0.996434,0.880000,0.956522,0.564417,0.812421,0.770481,0.996942,0.994321,0.577023,0.996427,0.826190,0.954955,0.998476,0.997967,0.998476,0.000000,0.000000,0.000000,0.000000,0.897384,0.694272,0.852786,0.989236,0.849907,0.971846,0.973451,0.972917
Qwen3-14B,0.380583,0.611413,0.448902,0.995058,0.999496,0.973089,0.835894,0.999495,0.982946,0.999497,0.998489,0.898978,0.901961,0.501695,0.897674,0.855906,1.000000,0.993337,0.890639,0.999464,0.755639,0.893096,1.000000,0.999497,1.000000,0.000000,0.000000,0.000000,0.000000,0.858388,0.718282,0.814997,0.987780,0.869410,0.975258,0.975761,0.987780
Qwen3-32B,0.274760,0.672948,0.430834,0.996065,0.999477,0.981153,0.790021,0.998422,0.980203,1.000000,0.997381,0.862884,0.677966,0.506195,0.931925,0.889693,0.999477,0.996812,0.859518,0.998914,0.702849,0.963164,1.000000,0.999477,1.000000,0.000000,0.000000,0.000000,0.000000,0.878472,0.729333,0.889952,0.998430,0.895215,0.979744,0.975375,0.988906
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
